sec,nanosec,frame_id,steering_angle,steering_angle_velocity,speed,acceleration,jerk
1741043558,851110288,,-0.3400000035762787,0.0,2.617398500442505,0.0,0.0
1741043558,901950654,,-0.3400000035762787,0.0,2.617398500442505,0.0,0.0
1741043558,932583373,,-0.3400000035762787,0.0,2.824554443359375,0.0,0.0
1741043558,964466411,,-0.3400000035762787,0.0,2.8763434886932373,0.0,0.0
1741043558,974006707,,-0.3400000035762787,0.0,3.031710386276245,0.0,0.0
1741043558,984377637,,-0.31887009739875793,0.0,3.031710386276245,0.0,0.0
1741043558,995010841,,-0.28012144565582275,0.0,3.031710386276245,0.0,0.0
1741043559,5918001,,-0.2625131905078888,0.0,3.1354424953460693,0.0,0.0
1741043559,16595334,,-0.25193777680397034,0.0,3.1354424953460693,0.0,0.0
1741043559,27255835,,-0.223764568567276,0.0,3.1354424953460693,0.0,0.0
1741043559,39931558,,-0.1991025060415268,0.0,3.1354424953460693,0.0,0.0
1741043559,49784178,,-0.14274561405181885,0.0,3.1354424953460693,0.0,0.0
1741043559,59796959,,-0.09695367515087128,0.0,3.1354424953460693,0.0,0.0
1741043559,70588886,,-0.03706464171409607,0.0,3.1354424953460693,0.0,0.0
1741043559,81233194,,-0.005369783844798803,0.0,3.1354424953460693,0.0,0.0
1741043559,94013270,,0.0,0.0,2.7727653980255127,0.0,0.0
1741043559,102922072,,0.0,0.0,2.669187545776367,0.0,0.0
1741043559,143930713,,0.13571280241012573,0.0,2.617398500442505,0.0,0.0
1741043559,154537165,,0.24138329923152924,0.0,2.617398500442505,0.0,0.0
1741043559,164761469,,0.26956698298454285,0.0,2.5138206481933594,0.0,0.0
1741043559,175406322,,0.3400000035762787,0.0,2.5138206481933594,0.0,0.0
1741043559,185889637,,0.3400000035762787,0.0,2.3582992553710938,0.0,0.0
1741043559,197557349,,0.3400000035762787,0.0,2.3065104484558105,0.0,0.0
1741043559,207056429,,0.3400000035762787,0.0,2.3065104484558105,0.0,0.0
1741043559,228320854,,0.3400000035762787,0.0,2.1511433124542236,0.0,0.0
1741043559,238682663,,0.3400000035762787,0.0,1.9957764148712158,0.0,0.0
1741043559,249294716,,0.3400000035762787,0.0,1.7366772890090942,0.0,0.0
1741043559,252676833,,0.3400000035762787,0.0,1.2187875509262085,0.0,0.0
1741043559,262488076,,0.3400000035762787,0.0,0.23448851704597473,0.0,0.0
1741043559,282700490,,0.3400000035762787,0.0,0.0,0.0,0.0
1741043559,303817233,,0.3400000035762787,0.0,0.0,0.0,0.0
1741043559,334467297,,0.3400000035762787,0.0,0.0,0.0,0.0
1741043559,354739391,,0.3400000035762787,0.0,0.0,0.0,0.0
1741043559,375769158,,0.3400000035762787,0.0,0.0,0.0,0.0
1741043559,419753000,,0.3400000035762787,0.0,0.0,0.0,0.0
1741043559,468222971,,0.3400000035762787,0.0,0.0,0.0,0.0
1741043559,519380427,,0.3400000035762787,0.0,0.0,0.0,0.0
1741043559,571753705,,0.3400000035762787,0.0,0.0,0.0,0.0
1741043559,621600907,,0.3400000035762787,0.0,0.0,0.0,0.0
1741043559,672780924,,0.3400000035762787,0.0,0.0,0.0,0.0
1741043559,723780939,,0.3400000035762787,0.0,0.0,0.0,0.0
1741043559,744640560,,0.3400000035762787,0.0,0.0,0.0,0.0
1741043559,755328453,,0.3400000035762787,0.0,0.0,0.0,0.0
1741043559,765601621,,0.3400000035762787,0.0,0.0,0.0,0.0
1741043559,786203415,,0.3400000035762787,0.0,0.1826995313167572,0.0,0.0
1741043559,797697013,,0.3400000035762787,0.0,0.3898554742336273,0.0,0.0
1741043559,808130567,,0.30127230286598206,0.0,0.7007434964179993,0.0,0.0
1741043559,818358487,,0.19559136033058167,0.0,0.9078994393348694,0.0,0.0
1741043559,829261551,,0.01594521850347519,0.0,1.0114774703979492,0.0,0.0
1741043559,839911204,,0.0,0.0,1.063266396522522,0.0,0.0
1741043559,853965534,,0.0,0.0,1.166844367980957,0.0,0.0
