sec,nanosec,child_frame_id,orientation_x,orientation_y,orientation_z,orientation_w,,,,,,,,,,twist_angular_x,twist_angular_y,twist_angular_z,,,,,,,,,,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z,,,,,,,,,
1741043535,37960668,base_link,0.073718809,0.002561662,-0.967622161,-0.241384313,0,0,0,0,0,0,0,0,0,1.403808594,5.126953125,-67.93212891,0,0,0,0,0,0,0,0,0,-0.155273438,-0.012695313,1.051757813,0,0,0,0,0,0,0,0,0
1741043535,61740065,base_link,0.073775724,0.001242783,-0.96477735,-0.252507895,0,0,0,0,0,0,0,0,0,9.826660156,-7.080078125,-65.73486328,0,0,0,0,0,0,0,0,0,-0.231445313,-0.000488281,1.162597656,0,0,0,0,0,0,0,0,0
1741043535,81729852,base_link,0.073525287,-5.30E-06,-0.961803377,-0.263682306,0,0,0,0,0,0,0,0,0,-1.098632813,8.728027344,-66.71142578,0,0,0,0,0,0,0,0,0,-0.094726563,0.048828125,0.93359375,0,0,0,0,0,0,0,0,0
1741043535,101835801,base_link,0.074526764,0.000341982,-0.95849967,-0.275180072,0,0,0,0,0,0,0,0,0,-8.911132813,5.859375,-70.61767578,0,0,0,0,0,0,0,0,0,-0.125,0.043457031,0.869140625,0,0,0,0,0,0,0,0,0
1741043535,121892918,base_link,0.075370729,-5.66E-05,-0.955027938,-0.28677687,0,0,0,0,0,0,0,0,0,7.263183594,11.10839844,-69.39697266,0,0,0,0,0,0,0,0,0,-0.150390625,-0.057617188,1.10546875,0,0,0,0,0,0,0,0,0
1741043535,141652207,base_link,0.076148674,-0.000803618,-0.951509833,-0.2980434,0,0,0,0,0,0,0,0,0,4.577636719,-4.028320313,-65.73486328,0,0,0,0,0,0,0,0,0,-0.208496094,0.0078125,0.94921875,0,0,0,0,0,0,0,0,0
1741043535,157496989,base_link,0.077462032,-0.000679986,-0.947988868,-0.308733493,0,0,0,0,0,0,0,0,0,-14.70947266,13.30566406,-65.79589844,0,0,0,0,0,0,0,0,0,-0.136230469,0.075195313,0.899902344,0,0,0,0,0,0,0,0,0
1741043535,182086379,base_link,0.079201661,-0.000580873,-0.944319189,-0.319355816,0,0,0,0,0,0,0,0,0,-3.173828125,1.953125,-65.00244141,0,0,0,0,0,0,0,0,0,-0.215820313,-0.020996094,1.103027344,0,0,0,0,0,0,0,0,0
1741043535,201768163,base_link,0.079013653,-0.000942846,-0.940678418,-0.329969853,0,0,0,0,0,0,0,0,0,7.934570313,-8.30078125,-64.88037109,0,0,0,0,0,0,0,0,0,-0.243164063,-0.025390625,1.115722656,0,0,0,0,0,0,0,0,0
1741043535,221644349,base_link,0.078555964,-0.001946958,-0.936989009,-0.340406895,0,0,0,0,0,0,0,0,0,2.685546875,-3.90625,-63.29345703,0,0,0,0,0,0,0,0,0,-0.175292969,0.011230469,0.94140625,0,0,0,0,0,0,0,0,0
1741043535,241700377,base_link,0.0781141,-0.002755082,-0.933249056,-0.350623399,0,0,0,0,0,0,0,0,0,-1.281738281,4.028320313,-62.68310547,0,0,0,0,0,0,0,0,0,-0.131835938,0.014648438,0.97265625,0,0,0,0,0,0,0,0,0
1741043535,263629674,base_link,0.078018203,-0.003219038,-0.929452658,-0.360583752,0,0,0,0,0,0,0,0,0,-2.624511719,-3.173828125,-61.58447266,0,0,0,0,0,0,0,0,0,-0.182128906,0.010742188,1.029785156,0,0,0,0,0,0,0,0,0
1741043535,282395224,base_link,0.077757694,-0.003911668,-0.925544381,-0.370548427,0,0,0,0,0,0,0,0,0,5.737304688,9.216308594,-62.37792969,0,0,0,0,0,0,0,0,0,-0.116210938,-0.015625,1.11328125,0,0,0,0,0,0,0,0,0
1741043535,302010192,base_link,0.07676807,-0.005370561,-0.921488404,-0.380705923,0,0,0,0,0,0,0,0,0,8.544921875,-4.638671875,-60.91308594,0,0,0,0,0,0,0,0,0,-0.170410156,0.019042969,1.109375,0,0,0,0,0,0,0,0,0
1741043535,321800329,base_link,0.075719632,-0.006437387,-0.917406976,-0.390627235,0,0,0,0,0,0,0,0,0,0.183105469,3.112792969,-63.4765625,0,0,0,0,0,0,0,0,0,-0.120117188,0.04296875,0.995117188,0,0,0,0,0,0,0,0,0
1741043535,341687203,base_link,0.076164767,-0.006372538,-0.912995756,-0.400745779,0,0,0,0,0,0,0,0,0,-4.272460938,7.934570313,-64.63623047,0,0,0,0,0,0,0,0,0,-0.064453125,0.0234375,0.855957031,0,0,0,0,0,0,0,0,0
1741043535,361929506,base_link,0.076264843,-0.006841723,-0.908486307,-0.410840034,0,0,0,0,0,0,0,0,0,3.41796875,-1.892089844,-63.11035156,0,0,0,0,0,0,0,0,0,-0.176269531,-0.017578125,1.023925781,0,0,0,0,0,0,0,0,0
1741043535,381733755,base_link,0.075074099,-0.00822632,-0.903843582,-0.421144962,0,0,0,0,0,0,0,0,0,13.91601563,5.37109375,-63.59863281,0,0,0,0,0,0,0,0,0,-0.110351563,-0.045410156,1.07421875,0,0,0,0,0,0,0,0,0
