sec,nanosec,frame_id,steering_angle,steering_angle_velocity,speed,acceleration,jerk
1741043636,787532293,,0.1180940568447113,0,1.0114774703979492,0,0
1741043636,808315079,,0.072302118,0,1.0114774703979492,0,0
1741043636,818412757,,0,0,1.0114774703979492,0,0
1741043636,869349408,,0,0,1.0114774703979492,0,0
1741043636,920424396,,0,0,1.0114774703979492,0,0
1741043636,971261686,,0,0,1.0114774703979492,0,0
1741043637,23229835,,0,0,1.0114774703979492,0,0
1741043637,73438990,,0,0,1.0114774703979492,0,0
1741043637,114863249,,0,0,1.2187875509262085,0,0
1741043637,165747931,,0,0,1.2187875509262085,0,0
1741043637,218098037,,0,0,1.2187875509262085,0,0
1741043637,268150678,,0,0,1.2187875509262085,0,0
1741043637,318896478,,0,0,1.2187875509262085,0,0
1741043637,369985002,,0,0,1.2187875509262085,0,0
1741043637,431066403,,0,0,1.322365403175354,0,0
1741043637,451646595,,0,0,1.322365403175354,0,0
1741043637,502163497,,0,0,1.322365403175354,0,0
1741043637,553899229,,0,0,1.322365403175354,0,0
1741043637,606100629,,0,0,1.322365403175354,0,0
1741043637,656611675,,0,0,1.322365403175354,0,0
1741043637,707542341,,0,0,1.322365403175354,0,0
1741043637,759100727,,0,0,1.322365403175354,0,0
1741043605,638970797,,0.3400000035762787,0,0,0,0
1741043637,810063681,,0,0,1.322365403175354,0,0
1741043605,691207815,,0.3400000035762787,0,0,0,0
1741043637,861252911,,0,0,1.322365403175354,0,0
1741043605,743412289,,0.3400000035762787,0,0,0,0
1741043637,912002519,,0,0,1.322365403175354,0,0
1741043605,794949683,,0.3400000035762787,0,0,0,0
1741043637,963747179,,0,0,1.322365403175354,0,0
1741043605,845160503,,0.3400000035762787,0,0,0,0
1741043638,14769046,,0,0,1.322365403175354,0,0
1741043605,896990509,,0.3400000035762787,0,0,0,0
1741043638,65871746,,0,0,1.322365403175354,0,0
1741043605,953938075,,0.3400000035762787,0,0,0,0
1741043638,116628747,,0,0,1.322365403175354,0,0
1741043606,1242015,,0.3400000035762787,0,0,0,0
1741043638,170501397,,0,0,1.322365403175354,0,0
1741043606,53101589,,0.3400000035762787,0,0,0,0
1741043638,221180413,,0,0,1.322365403175354,0,0
1741043638,272565516,,0,0,1.322365403175354,0,0
1741043638,323356405,,0,0,1.322365403175354,0,0
1741043638,374285184,,0,0,1.322365403175354,0,0
1741043638,425156905,,0,0,1.322365403175354,0,0
1741043638,476097652,,0,0,1.322365403175354,0,0
1741043638,527254433,,0,0,1.322365403175354,0,0
1741043606,104384933,,0.3400000035762787,0,0,0,0
1741043606,155082766,,0.3400000035762787,0,0,0,0
1741043606,205875448,,0.3400000035762787,0,0,0,0
1741043606,256660611,,0.3400000035762787,0,0,0,0
1741043606,307868145,,0.3400000035762787,0,0,0,0
1741043606,359316739,,0.3400000035762787,0,0,0,0
1741043606,413760213,,0.3400000035762787,0,0,0,0
1741043638,579744092,,0,0,1.322365403175354,0,0
1741043606,462895853,,0.3400000035762787,0,0,0,0
1741043638,630525829,,0,0,1.322365403175354,0,0
