# x_m,y_m,w_tr_right_m,w_tr_left_m
-5.1300,5.6100,0.5590,0.5590
-5.1300,5.8100,0.5385,0.5385
-5.0800,6.0100,0.5500,0.5500
-5.0300,6.2100,0.6000,0.6000
-4.9800,6.4100,0.6000,0.6000
-4.9300,6.6100,0.5701,0.5701
-4.9300,6.8100,0.5500,0.5500
-4.9300,7.0100,0.5852,0.5852
-4.8800,7.2100,0.7159,0.7159
-4.8800,7.4100,0.7566,0.7566
-5.0300,7.5600,0.8746,0.8746
-5.2300,7.6100,0.8382,0.8382
-5.4300,7.5100,0.7018,0.7018
-5.6300,7.4600,0.6576,0.6576
-5.8300,7.4100,0.6708,0.6708
-6.0300,7.3600,0.7433,0.7433
-6.2300,7.1600,0.6801,0.6801
-6.2800,6.9600,0.6671,0.6671
-6.3300,6.7600,0.6576,0.6576
-6.3300,6.5600,0.7000,0.7000
-6.3800,6.3600,0.7071,0.7071
-6.4300,6.1600,0.7018,0.7018
-6.4800,5.9600,0.6964,0.6964
-6.5300,5.7600,0.6964,0.6964
-6.5800,5.5600,0.6801,0.6801
-6.6300,5.3600,0.6801,0.6801
-6.6800,5.1600,0.6801,0.6801
-6.7300,4.9600,0.6671,0.6671
-6.7800,4.7600,0.6671,0.6671
-6.8300,4.5600,0.6519,0.6519
-6.8800,4.3600,0.6500,0.6500
-6.9300,4.1600,0.6500,0.6500
-6.9800,3.9600,0.6185,0.6185
-7.0300,3.7600,0.6325,0.6325
-7.0800,3.5600,0.6185,0.6185
