# x_m,y_m,w_tr_right_m,w_tr_left_m
3.9800,-1.2300,0.6265,0.6265
4.0300,-1.2800,0.6265,0.6265
4.0300,-1.3300,0.6265,0.6265
4.0300,-1.3800,0.6042,0.6042
4.0300,-1.4300,0.5831,0.5831
4.0300,-1.4800,0.5590,0.5590
4.0800,-1.5300,0.5852,0.5852
4.0800,-1.5800,0.5701,0.5701
4.0800,-1.6300,0.5590,0.5590
4.0800,-1.6800,0.5523,0.5523
4.0800,-1.7300,0.5500,0.5500
4.0800,-1.7800,0.5500,0.5500
4.1300,-1.8300,0.6000,0.6000
4.1300,-1.8800,0.6000,0.6000
4.1300,-1.9300,0.6000,0.6000
4.1300,-1.9800,0.6000,0.6000
4.1300,-2.0300,0.6000,0.6000
4.1300,-2.0800,0.6021,0.6021
4.1300,-2.1300,0.6083,0.6083
4.1300,-2.1800,0.6185,0.6185
4.1300,-2.2300,0.6325,0.6325
4.1300,-2.2800,0.6500,0.6500
4.1300,-2.3300,0.6671,0.6671
4.0800,-2.3800,0.6325,0.6325
4.0800,-2.4300,0.6500,0.6500
4.0800,-2.4800,0.6708,0.6708
4.0300,-2.5300,0.6500,0.6500
4.0300,-2.5800,0.6708,0.6708
3.9800,-2.6300,0.6519,0.6519
3.9800,-2.6800,0.6801,0.6801
3.9300,-2.7300,0.6727,0.6727
3.8800,-2.7800,0.6727,0.6727
3.8300,-2.8300,0.6727,0.6727
3.7800,-2.8800,0.6801,0.6801
3.7300,-2.9300,0.6801,0.6801
3.6800,-2.9300,0.6708,0.6708
3.6300,-2.9800,0.6708,0.6708
3.5800,-3.0300,0.6500,0.6500
3.5300,-3.0300,0.6500,0.6500
3.4800,-3.0800,0.6000,0.6000
3.4300,-3.0800,0.6021,0.6021
3.3800,-3.0800,0.6083,0.6083
3.3300,-3.1300,0.5701,0.5701
3.2800,-3.1800,0.5385,0.5385
3.2300,-3.1800,0.5500,0.5500
3.1800,-3.1800,0.5500,0.5500
3.1300,-3.1800,0.5500,0.5500
3.0800,-3.2300,0.5000,0.5000
3.0300,-3.2300,0.5000,0.5000
2.9800,-3.2300,0.5000,0.5000
2.9300,-3.2800,0.4500,0.4500
2.8800,-3.2800,0.4500,0.4500
2.8300,-3.2800,0.4500,0.4500
2.7800,-3.2800,0.4528,0.4528
2.7300,-3.2800,0.4610,0.4610
2.6800,-3.2800,0.4743,0.4743
2.6300,-3.2800,0.4924,0.4924
2.5800,-3.3300,0.4500,0.4500
2.5300,-3.3300,0.4500,0.4500
2.4800,-3.3300,0.4500,0.4500
2.4300,-3.3300,0.4500,0.4500
2.3800,-3.3300,0.4500,0.4500
2.3300,-3.3800,0.4000,0.4000
2.2800,-3.3800,0.4000,0.4000
2.2300,-3.3800,0.4031,0.4031
2.1800,-3.3800,0.4123,0.4123
2.1300,-3.3800,0.4272,0.4272
2.0800,-3.3800,0.4472,0.4472
2.0300,-3.4300,0.4000,0.4000
1.9800,-3.4300,0.4000,0.4000
1.9300,-3.4300,0.4000,0.4000
