# x_m,y_m,w_tr_right_m,w_tr_left_m
-3.4200,-5.7700,0.6576,0.6576
-3.4200,-5.8200,0.6671,0.6671
-3.4200,-5.8700,0.6801,0.6801
-3.4200,-5.9200,0.6964,0.6964
-3.4200,-5.9700,0.7000,0.7000
-3.4200,-6.0200,0.6964,0.6964
-3.4200,-6.0700,0.6801,0.6801
-3.4200,-6.1200,0.6671,0.6671
-3.4200,-6.1700,0.6576,0.6576
-3.3700,-6.2200,0.7018,0.7018
-3.3700,-6.2700,0.7000,0.7000
-3.3700,-6.3200,0.7000,0.7000
-3.3200,-6.3700,0.7500,0.7500
-3.3200,-6.4200,0.7433,0.7433
-3.2700,-6.4700,0.7762,0.7762
-3.2700,-6.5200,0.7616,0.7616
-3.2200,-6.5700,0.7826,0.7826
-3.2200,-6.6200,0.7616,0.7616
-3.1700,-6.6700,0.7906,0.7906
-3.1200,-6.7200,0.8201,0.8201
-3.1200,-6.7700,0.8062,0.8062
-3.0700,-6.8200,0.8276,0.8276
-3.0700,-6.8700,0.8062,0.8062
-3.0200,-6.9200,0.8246,0.8246
-2.9700,-6.9700,0.7906,0.7906
-2.9200,-7.0200,0.7616,0.7616
-2.8700,-7.0700,0.7382,0.7382
-2.8200,-7.0700,0.7616,0.7616
-2.7700,-7.1200,0.7382,0.7382
-2.7200,-7.1700,0.7159,0.7159
-2.6700,-7.1700,0.7280,0.7280
-2.6200,-7.2200,0.6964,0.6964
-2.5700,-7.2700,0.6671,0.6671
-2.5200,-7.3200,0.6325,0.6325
-2.4700,-7.3200,0.6500,0.6500
-2.4200,-7.3700,0.6265,0.6265
-2.3700,-7.3700,0.6403,0.6403
-2.3200,-7.4200,0.6185,0.6185
-2.2700,-7.4200,0.6265,0.6265
-2.2200,-7.4700,0.6042,0.6042
-2.1700,-7.4700,0.6185,0.6185
-2.1200,-7.5200,0.5852,0.5852
-2.0700,-7.5700,0.5590,0.5590
-2.0200,-7.5700,0.5701,0.5701
-1.9700,-7.5700,0.5831,0.5831
-1.9200,-7.6200,0.5590,0.5590
-1.8700,-7.6200,0.5701,0.5701
-1.8200,-7.6700,0.5385,0.5385
-1.7700,-7.6700,0.5590,0.5590
-1.7200,-7.7200,0.5385,0.5385
-1.6700,-7.7200,0.5590,0.5590
-1.6200,-7.7700,0.5220,0.5220
-1.5700,-7.7700,0.5385,0.5385
-1.5200,-7.8200,0.5099,0.5099
-1.4700,-7.8200,0.5220,0.5220
-1.4200,-7.8700,0.4924,0.4924
-1.3700,-7.8700,0.5099,0.5099
-1.3200,-7.8700,0.5148,0.5148
-1.2700,-7.9200,0.4924,0.4924
-1.2200,-7.9200,0.5000,0.5000
-1.1700,-7.9700,0.4743,0.4743
-1.1200,-7.9700,0.4924,0.4924
-1.0700,-8.0200,0.4610,0.4610
-1.0200,-8.0200,0.4743,0.4743
-0.9700,-8.0200,0.4717,0.4717
-0.9200,-8.0700,0.4528,0.4528
-0.8700,-8.0700,0.4610,0.4610
-0.8200,-8.1200,0.4272,0.4272
-0.7700,-8.1200,0.4472,0.4472
-0.7200,-8.1200,0.4472,0.4472
-0.6700,-8.1700,0.4272,0.4272
-0.6200,-8.1700,0.4472,0.4472
-0.5700,-8.2200,0.4031,0.4031
-0.5200,-8.2200,0.4123,0.4123
-0.4700,-8.2200,0.4272,0.4272
-0.4200,-8.2700,0.4031,0.4031
-0.3700,-8.2700,0.4123,0.4123
-0.3200,-8.2700,0.4123,0.4123
-0.2700,-8.2700,0.4031,0.4031
-0.2200,-8.3200,0.4031,0.4031
-0.1700,-8.3200,0.4123,0.4123
-0.1200,-8.3200,0.4272,0.4272
-0.0700,-8.3200,0.4472,0.4472
-0.0200,-8.3200,0.4500,0.4500
0.0300,-8.3200,0.4500,0.4500
0.0800,-8.3200,0.4500,0.4500
0.1300,-8.3200,0.4500,0.4500
0.1800,-8.3200,0.4500,0.4500
0.2300,-8.3700,0.4610,0.4610
0.2800,-8.3700,0.4743,0.4743
0.3300,-8.3700,0.4924,0.4924
0.3800,-8.3700,0.5000,0.5000
0.4300,-8.3700,0.5025,0.5025
0.4800,-8.3700,0.5099,0.5099
0.5300,-8.3700,0.5220,0.5220
0.5800,-8.3700,0.5385,0.5385
0.6300,-8.3700,0.5500,0.5500
0.6800,-8.3700,0.5500,0.5500
0.7300,-8.3700,0.5500,0.5500
0.7800,-8.3700,0.5500,0.5500
0.8300,-8.3700,0.5523,0.5523
0.8800,-8.3700,0.5590,0.5590
0.9300,-8.3700,0.5701,0.5701
0.9800,-8.3200,0.6325,0.6325
1.0300,-8.3200,0.6500,0.6500
1.0800,-8.3200,0.6500,0.6500
1.1300,-8.3200,0.6500,0.6500
1.1800,-8.3200,0.6519,0.6519
1.2300,-8.3200,0.6576,0.6576
1.2800,-8.2700,0.7159,0.7159
1.3300,-8.2200,0.7433,0.7433
1.3800,-8.1700,0.7000,0.7000
1.3800,-8.1200,0.7018,0.7018
1.3800,-8.0700,0.7071,0.7071
1.4300,-8.0200,0.6671,0.6671
1.4300,-7.9700,0.6801,0.6801
1.4800,-7.9200,0.6500,0.6500
1.4800,-7.8700,0.6500,0.6500
1.4800,-7.8200,0.6500,0.6500
1.5300,-7.7700,0.6000,0.6000
1.5300,-7.7200,0.6000,0.6000
1.5300,-7.6700,0.6000,0.6000
1.5300,-7.6200,0.6000,0.6000
1.5300,-7.5700,0.6021,0.6021
1.5300,-7.5200,0.5852,0.5852
1.5300,-7.4700,0.5701,0.5701
1.5300,-7.4200,0.5590,0.5590
1.5300,-7.3700,0.5523,0.5523
1.5300,-7.3200,0.5500,0.5500
1.5300,-7.2700,0.5500,0.5500
1.5800,-7.2200,0.6000,0.6000
1.5800,-7.1700,0.6000,0.6000
1.5800,-7.1200,0.6000,0.6000
1.5800,-7.0700,0.6000,0.6000
1.5800,-7.0200,0.6000,0.6000
1.5800,-6.9700,0.6000,0.6000
1.5800,-6.9200,0.6021,0.6021
1.5800,-6.8700,0.6083,0.6083
1.5800,-6.8200,0.6185,0.6185
1.5800,-6.7700,0.6325,0.6325
1.5800,-6.7200,0.6500,0.6500
1.5800,-6.6700,0.6500,0.6500
1.5300,-6.6200,0.7000,0.7000
1.5300,-6.5700,0.7000,0.7000
1.5300,-6.5200,0.7000,0.7000
1.5300,-6.4700,0.7000,0.7000
1.5300,-6.4200,0.7000,0.7000
1.5300,-6.3700,0.7000,0.7000
1.4800,-6.3200,0.7500,0.7500
1.4800,-6.2700,0.7500,0.7500
1.4300,-6.2200,0.8000,0.8000
1.3800,-6.1700,0.8515,0.8515
1.3300,-6.1200,0.9055,0.9055
1.2800,-6.0700,0.9192,0.9192
1.2300,-6.0200,0.9192,0.9192
1.1800,-5.9700,0.9192,0.9192
1.1300,-5.9200,0.9192,0.9192
1.0800,-5.8700,0.9192,0.9192
1.0300,-5.8200,0.9192,0.9192
0.9800,-5.7700,0.9179,0.9179
0.9300,-5.7200,0.9014,0.9014
0.8800,-5.6700,0.8902,0.8902
0.8800,-5.6200,0.9220,0.9220
0.8300,-5.5700,0.9192,0.9192
0.7800,-5.5200,0.9179,0.9179
0.7300,-5.4700,0.8944,0.8944
0.6800,-5.4200,0.8746,0.8746
0.6300,-5.3700,0.8602,0.8602
0.6300,-5.3200,0.8602,0.8602
0.5800,-5.2700,0.8500,0.8500
0.5300,-5.2700,0.8322,0.8322
0.4800,-5.2200,0.8201,0.8201
0.4300,-5.1700,0.8062,0.8062
0.3800,-5.1200,0.7906,0.7906
0.3300,-5.0700,0.7810,0.7810
0.2800,-5.0200,0.7616,0.7616
0.2300,-4.9700,0.7382,0.7382
0.1800,-4.9200,0.7211,0.7211
0.1300,-4.9200,0.7433,0.7433
0.0800,-4.8700,0.7382,0.7382
0.0300,-4.8200,0.7159,0.7159
-0.0200,-4.7700,0.6946,0.6946
-0.0700,-4.7700,0.7071,0.7071
-0.1200,-4.7200,0.6946,0.6946
-0.1700,-4.6700,0.6708,0.6708
-0.2200,-4.6700,0.6801,0.6801
-0.2700,-4.6200,0.6801,0.6801
-0.3200,-4.5700,0.6708,0.6708
-0.3700,-4.5200,0.6500,0.6500
-0.4200,-4.5200,0.6708,0.6708
-0.4700,-4.4700,0.6500,0.6500
-0.5200,-4.4700,0.6519,0.6519
-0.5700,-4.4200,0.6519,0.6519
-0.6200,-4.3700,0.6403,0.6403
-0.6700,-4.3700,0.6364,0.6364
-0.7200,-4.3200,0.6403,0.6403
-0.7700,-4.2700,0.6265,0.6265
-0.8200,-4.2700,0.6185,0.6185
-0.8700,-4.2200,0.5852,0.5852
-0.9200,-4.1700,0.5590,0.5590
-0.9700,-4.1200,0.5385,0.5385
-0.9700,-4.0700,0.5590,0.5590
-1.0200,-4.0200,0.5220,0.5220
-1.0700,-3.9700,0.4924,0.4924
-1.1200,-3.9200,0.4610,0.4610
-1.1200,-3.8700,0.4743,0.4743
-1.1700,-3.8200,0.4472,0.4472
-1.2200,-3.7700,0.4123,0.4123
-1.2200,-3.7200,0.4272,0.4272
-1.2200,-3.6700,0.4472,0.4472
-1.2700,-3.6200,0.4000,0.4000
-1.2700,-3.5700,0.4000,0.4000
-1.2700,-3.5200,0.4000,0.4000
-1.2700,-3.4700,0.4000,0.4000
-1.2700,-3.4200,0.4000,0.4000
-1.2700,-3.3700,0.4000,0.4000
-1.2700,-3.3200,0.4000,0.4000
-1.2700,-3.2700,0.4000,0.4000
-1.2700,-3.2200,0.4000,0.4000
-1.2700,-3.1700,0.4000,0.4000
-1.2200,-3.1200,0.4500,0.4500
-1.2200,-3.0700,0.4500,0.4500
-1.2200,-3.0200,0.4500,0.4500
-1.2200,-2.9700,0.4500,0.4500
-1.1700,-2.9200,0.5025,0.5025
-1.1700,-2.8700,0.5099,0.5099
-1.1700,-2.8200,0.5220,0.5220
-1.1700,-2.7700,0.5385,0.5385
-1.1200,-2.7200,0.6000,0.6000
-1.1200,-2.6700,0.6000,0.6000
-1.1200,-2.6200,0.6000,0.6000
-1.0700,-2.5700,0.6500,0.6500
-1.0700,-2.5200,0.6500,0.6500
-1.0700,-2.4700,0.6500,0.6500
-1.0200,-2.4200,0.6964,0.6964
-1.0200,-2.3700,0.6801,0.6801
-0.9700,-2.3200,0.7159,0.7159
-0.9700,-2.2700,0.7071,0.7071
-0.9200,-2.2200,0.7517,0.7517
-0.9200,-2.1700,0.7500,0.7500
-0.8700,-2.1200,0.7906,0.7906
-0.8200,-2.0700,0.8246,0.8246
-0.7700,-2.0200,0.8544,0.8544
-0.7200,-2.0200,0.8500,0.8500
-0.6700,-1.9700,0.8732,0.8732
-0.6200,-1.9700,0.8544,0.8544
-0.5700,-1.9700,0.8382,0.8382
-0.5200,-1.9700,0.8246,0.8246
-0.4700,-1.9200,0.8631,0.8631
-0.4200,-1.9200,0.8559,0.8559
-0.3700,-1.9200,0.8515,0.8515
-0.3200,-1.9200,0.8500,0.8500
-0.2700,-1.8700,0.9000,0.9000
-0.2200,-1.8700,0.9000,0.9000
-0.1700,-1.8700,0.9000,0.9000
-0.1200,-1.8200,0.9500,0.9500
-0.0700,-1.8200,0.9513,0.9513
-0.0200,-1.8200,0.9552,0.9552
0.0300,-1.8200,0.9618,0.9618
0.0800,-1.8200,0.9708,0.9708
0.1300,-1.8200,0.9823,0.9823
0.1800,-1.8200,0.9962,0.9962
0.2300,-1.8200,1.0112,1.0112
0.2800,-1.8200,1.0198,1.0198
0.3300,-1.8200,1.0308,1.0308
0.3800,-1.8200,1.0440,1.0440
0.4300,-1.8200,1.0500,1.0500
0.4800,-1.8200,1.0500,1.0500
0.5300,-1.8200,1.0512,1.0512
0.5800,-1.8200,1.0548,1.0548
0.6300,-1.8200,1.0607,1.0607
0.6800,-1.8700,1.1180,1.1180
0.7300,-1.9200,1.1662,1.1662
0.7800,-1.9200,1.1853,1.1853
0.8300,-1.9700,1.1543,1.1543
0.8800,-2.0200,1.1236,1.1236
0.9300,-2.0700,1.0966,1.0966
0.9800,-2.1200,1.0735,1.0735
0.9800,-2.1700,1.0817,1.0817
1.0300,-2.2200,1.0595,1.0595
1.0800,-2.2700,1.0308,1.0308
1.1300,-2.3200,1.0000,1.0000
1.1800,-2.3700,0.9500,0.9500
1.2300,-2.4200,0.9000,0.9000
1.2300,-2.4700,0.8500,0.8500
1.2800,-2.5200,0.8000,0.8000
1.3300,-2.5200,0.8000,0.8000
1.3800,-2.5700,0.7500,0.7500
1.4300,-2.5700,0.7500,0.7500
1.4800,-2.6200,0.7000,0.7000
1.5300,-2.6200,0.7000,0.7000
1.5800,-2.6700,0.6500,0.6500
1.6300,-2.6700,0.6325,0.6325
1.6800,-2.6700,0.6185,0.6185
1.7300,-2.7200,0.5590,0.5590
1.7800,-2.7200,0.5523,0.5523
1.8300,-2.7200,0.5500,0.5500
1.8800,-2.7200,0.5500,0.5500
1.9300,-2.7200,0.5500,0.5500
1.9800,-2.7200,0.5500,0.5500
2.0300,-2.7200,0.5500,0.5500
2.0800,-2.7200,0.5500,0.5500
2.1300,-2.7200,0.5500,0.5500
2.1800,-2.7200,0.5500,0.5500
2.2300,-2.7200,0.5385,0.5385
2.2800,-2.7200,0.5220,0.5220
2.3300,-2.7200,0.5099,0.5099
2.3800,-2.7200,0.5025,0.5025
2.4300,-2.7200,0.5000,0.5000
2.4800,-2.7200,0.5000,0.5000
2.5300,-2.7200,0.5000,0.5000
2.5800,-2.7200,0.5000,0.5000
2.6300,-2.6700,0.5385,0.5385
2.6800,-2.6700,0.5500,0.5500
2.7300,-2.6700,0.5385,0.5385
2.7800,-2.6700,0.5220,0.5220
2.8300,-2.6700,0.5099,0.5099
2.8800,-2.6700,0.5025,0.5025
2.9300,-2.6200,0.5500,0.5500
2.9800,-2.6200,0.5500,0.5500
3.0300,-2.5700,0.6000,0.6000
3.0300,-2.5200,0.6021,0.6021
3.0800,-2.4700,0.6021,0.6021
3.1300,-2.4200,0.5831,0.5831
3.1300,-2.3700,0.5831,0.5831
3.1300,-2.3200,0.5590,0.5590
3.1800,-2.2700,0.5852,0.5852
3.1800,-2.2200,0.5701,0.5701
3.2300,-2.1700,0.6000,0.6000
3.2300,-2.1200,0.5831,0.5831
3.2800,-2.0700,0.5500,0.5500
3.2800,-2.0200,0.5500,0.5500
3.2800,-1.9700,0.5500,0.5500
3.2800,-1.9200,0.5500,0.5500
3.2800,-1.8700,0.5385,0.5385
3.2800,-1.8200,0.5220,0.5220
3.2800,-1.7700,0.5099,0.5099
3.2800,-1.7200,0.5025,0.5025
3.2800,-1.6700,0.5000,0.5000
3.2800,-1.6200,0.5000,0.5000
3.2800,-1.5700,0.5000,0.5000
3.2800,-1.5200,0.5000,0.5000
3.2800,-1.4700,0.5000,0.5000
