# x_m,y_m,w_tr_right_m,w_tr_left_m
-1.1400,-3.7700,0.3162,0.3162
-1.0900,-3.7700,0.3041,0.3041
-1.0400,-3.7700,0.2915,0.2915
-0.9900,-3.7200,0.3162,0.3162
-0.9400,-3.7200,0.3041,0.3041
-0.8900,-3.7200,0.3000,0.3000
-0.8400,-3.6700,0.3162,0.3162
-0.7900,-3.6700,0.3162,0.3162
-0.7400,-3.6700,0.3041,0.3041
-0.6900,-3.6200,0.3354,0.3354
-0.6400,-3.6200,0.3162,0.3162
-0.5900,-3.6200,0.3041,0.3041
-0.5400,-3.5700,0.3354,0.3354
-0.4900,-3.5700,0.3162,0.3162
-0.4400,-3.5200,0.3536,0.3536
-0.3900,-3.4700,0.3808,0.3808
-0.3400,-3.4700,0.3640,0.3640
-0.2900,-3.4700,0.3536,0.3536
-0.2400,-3.4200,0.3808,0.3808
-0.1900,-3.4200,0.3640,0.3640
-0.1400,-3.4200,0.3536,0.3536
-0.0900,-3.3700,0.3808,0.3808
-0.0400,-3.3700,0.3640,0.3640
0.0100,-3.3200,0.4031,0.4031
0.0600,-3.3200,0.4000,0.4000
0.1100,-3.2700,0.4272,0.4272
0.1600,-3.2700,0.4123,0.4123
0.2100,-3.2700,0.4031,0.4031
0.2600,-3.2200,0.4472,0.4472
0.3100,-3.2200,0.4272,0.4272
0.3600,-3.2200,0.4123,0.4123
0.4100,-3.1700,0.4528,0.4528
0.4600,-3.1700,0.4472,0.4472
0.5100,-3.1200,0.4743,0.4743
0.5600,-3.1200,0.4610,0.4610
0.6100,-3.0700,0.4924,0.4924
0.6600,-3.0700,0.4743,0.4743
0.7100,-3.0200,0.5099,0.5099
0.7600,-3.0200,0.4924,0.4924
0.8100,-3.0200,0.4743,0.4743
0.8600,-2.9700,0.5099,0.5099
0.9100,-2.9700,0.4924,0.4924
0.9600,-2.9700,0.4743,0.4743
1.0100,-2.9200,0.5099,0.5099
1.0600,-2.8700,0.5523,0.5523
1.1100,-2.8700,0.5385,0.5385
1.1600,-2.8200,0.5701,0.5701
1.2100,-2.8200,0.5590,0.5590
1.2600,-2.7700,0.6021,0.6021
1.3100,-2.7200,0.6325,0.6325
1.3600,-2.7200,0.6185,0.6185
1.4100,-2.6700,0.6500,0.6500
1.4600,-2.6700,0.6265,0.6265
1.5100,-2.6200,0.6500,0.6500
1.5600,-2.5700,0.6801,0.6801
1.6100,-2.5200,0.7159,0.7159
1.6100,-2.4700,0.7211,0.7211
